x,y,z,r,g,b
57,27,7,0.5482843137254901,0.45980392156862754,0.40490196078431384
21,14,28,0.29464052287581693,0.25124183006535944,0.20862745098039218
5,9,16,0.5590413943355119,0.4583877995642702,0.3769063180827887
23,16,24,0.5831070889894417,0.48838612368024137,0.43469079939668187
3,1,6,0.35065359477124186,0.31666666666666665,0.2545751633986928
11,1,26,0.3082633053221289,0.2669467787114846,0.2236694677871149
1,1,22,0.41725490196078446,0.3683660130718953,0.3024836601307189
20,24,24,0.40939542483660135,0.3476307189542483,0.3022058823529412
0,1,38,0.4633484162895929,0.3978883861236801,0.3369532428355958
18,16,2,0.6078431372549019,0.5196078431372548,0.4661764705882353
4,0,37,0.28862745098039216,0.3166013071895424,0.33281045751633986
6,0,27,0.26862745098039215,0.30152505446623085,0.3213507625272331
46,30,13,0.5287581699346405,0.4908496732026144,0.46928104575163404
39,8,27,0.17065090876533243,0.24745277106276295,0.23443459575611053
5,11,16,0.5563025210084034,0.4666666666666667,0.3742296918767507
45,17,2,0.6019607843137255,0.5186274509803922,0.46617647058823536
14,1,26,0.15470864402098863,0.1463131731565866,0.13294669980668333
19,0,20,0.27352941176470585,0.3058823529411765,0.3205882352941176
51,18,24,0.647450980392157,0.5741176470588234,0.5215686274509803
2,1,12,0.35529411764705887,0.31999999999999995,0.24705882352941178
33,6,26,0.15801052128168347,0.14930655188904837,0.1313247250119561
5,16,15,0.5910364145658263,0.49859943977591037,0.4380952380952382
55,1,36,0.48549019607843136,0.42666666666666664,0.37254901960784315
34,8,31,0.13445378151260506,0.2929971988795518,0.30448179271708675
28,5,26,0.15867269984917043,0.14901960784313723,0.12941176470588237
1,1,16,0.4326797385620915,0.38169934640522873,0.3104575163398693
4,0,35,0.2819607843137254,0.31294117647058817,0.33019607843137255
5,22,6,0.4456747404844291,0.35455594002306795,0.25236447520184546
13,21,1,0.6013071895424835,0.5161531279178337,0.46069094304388425
15,11,26,0.05799793601651185,0.06625386996904027,0.06769865841073273
21,10,2,0.6071895424836601,0.5169934640522876,0.4542483660130719
14,1,24,0.1886480908152735,0.16821465428276572,0.1444788441692466
2,1,14,0.3701960784313726,0.33176470588235296,0.25803921568627447
33,6,24,0.16764705882352943,0.16666666666666669,0.1519607843137255
5,4,16,0.48963585434173673,0.3893557422969187,0.30364145658263303
6,0,29,0.27133520074696543,0.3030812324929971,0.3254901960784313
27,30,10,0.5333333333333333,0.49411764705882355,0.4739495798319328
3,25,18,0.6184313725490197,0.5423529411764705,0.5062745098039215
3,1,12,0.338235294117647,0.3049019607843137,0.23921568627450981
42,1,35,0.10970400899213172,0.1102285500187334,0.10733108530036194
5,16,12,0.5868092691622103,0.49304812834224604,0.4285204991087344
24,25,2,0.6039215686274509,0.5140819964349376,0.45739750445632804
13,12,29,0.196849887495982,0.15454837672774022,0.08518161362905813
44,2,29,0.26950464396284807,0.24969040247678,0.22027863777089765
2,1,13,0.3641456582633053,0.32829131652661064,0.25434173669467786
58,21,11,0.5860784313725488,0.5180392156862744,0.4821568627450981
5,22,5,0.31310629514963884,0.24437564499484002,0.17956656346749225
21,8,31,0.12033023735810118,0.31475748194014447,0.3203302373581011
12,1,29,0.17074971164936556,0.1588465974625142,0.14657439446366768
