x,y,z,r,g,b
71,2,53,0.054154995331465915,0.09393090569561162,0.11858076563958919
32,37,13,0.5529411764705883,0.5098039215686274,0.4892156862745098
33,37,13,0.5317647058823529,0.49333333333333335,0.4745098039215686
34,37,15,0.5372549019607843,0.4996078431372549,0.4792156862745098
62,25,31,0.6276573787409698,0.5481940144478843,0.4833849329205367
33,37,16,0.5466666666666666,0.5098039215686274,0.4901960784313725
34,37,17,0.5228758169934641,0.4901960784313726,0.4732026143790849
34,37,18,0.5163398692810457,0.4823529411764706,0.4653594771241831
34,37,19,0.5147058823529411,0.4808823529411765,0.46813725490196084
71,30,24,0.5086834733893557,0.42371615312791794,0.3716153127917834
34,37,20,0.5066897347174163,0.4737024221453287,0.45870818915801626
37,37,19,0.5215686274509803,0.4867102396514162,0.47058823529411764
38,37,18,0.5159663865546218,0.4812324929971989,0.46386554621848747
35,37,17,0.5333333333333333,0.4980392156862745,0.4792156862745098
36,37,16,0.5186274509803921,0.4843137254901961,0.46568627450980393
35,37,16,0.5333333333333333,0.4970588235294118,0.47843137254901963
34,37,14,0.5333333333333333,0.49607843137254903,0.47549019607843135
66,3,38,0.14836601307189543,0.15424836601307187,0.15882352941176472
34,37,13,0.5294117647058824,0.49215686274509807,0.4725490196078431
34,37,12,0.5341176470588235,0.49411764705882355,0.47215686274509805
71,30,21,0.5145098039215685,0.4292810457516341,0.379607843137255
33,37,10,0.5555555555555556,0.5084967320261438,0.4849673202614379
48,30,30,0.47967914438502673,0.40053475935828886,0.3465240641711231
35,37,11,0.5431372549019609,0.5019607843137255,0.47843137254901963
35,37,13,0.5333333333333333,0.49333333333333335,0.4745098039215686
73,30,13,0.6007843137254901,0.5031372549019608,0.4533333333333334
36,37,15,0.5192156862745098,0.4815686274509804,0.46274509803921565
39,37,18,0.5207843137254902,0.48392156862745106,0.464313725490196
62,9,31,0.2,0.17058823529411765,0.1411764705882353
35,40,20,0.5686274509803927,0.5032156862745097,0.46972549019607795
39,37,19,0.5211764705882354,0.48431372549019613,0.4670588235294118
68,35,15,0.5049019607843137,0.44281045751634,0.4199346405228759
40,37,19,0.521078431372549,0.48284313725490197,0.46617647058823536
64,15,33,0.4989441930618401,0.436500754147813,0.3686274509803921
38,37,17,0.534453781512605,0.4980392156862745,0.47675070028011207
30,25,31,0.5901960784313726,0.49558823529411766,0.4524509803921569
39,37,16,0.5405228758169934,0.5026143790849673,0.48366013071895425
39,37,17,0.5176470588235295,0.4768627450980393,0.4596078431372549
50,0,5,0.2733893557422969,0.3053221288515407,0.32212885154061627
40,37,17,0.5333333333333333,0.4964705882352941,0.4784313725490196
69,26,23,0.611764705882353,0.5745098039215686,0.55
41,37,18,0.5396078431372549,0.4980392156862745,0.48
41,37,17,0.5325490196078431,0.49254901960784314,0.47137254901960784
67,13,25,0.5945098039215686,0.5058823529411764,0.4541176470588235
40,37,16,0.503921568627451,0.4676470588235294,0.44999999999999996
37,37,15,0.5372549019607843,0.49901960784313726,0.4794117647058823
24,35,25,0.5666666666666667,0.49607843137254903,0.45294117647058824
64,0,44,0.2679738562091503,0.29673202614379085,0.31241830065359477
39,37,15,0.538235294117647,0.5019607843137255,0.4823529411764706
39,37,14,0.5300653594771242,0.4934640522875817,0.473202614379085
41,37,15,0.5427450980392157,0.5027450980392156,0.4815686274509804
41,37,16,0.5431372549019607,0.5019607843137255,0.47908496732026146
42,37,17,0.5124183006535947,0.4705882352941177,0.44967320261437904
36,37,12,0.544313725490196,0.5011764705882353,0.4784313725490196
38,37,13,0.5411764705882353,0.5019607843137255,0.48235294117647054
16,3,31,0.27282913165266104,0.24537815126050422,0.22016806722689072
38,37,12,0.5498039215686275,0.508235294117647,0.48549019607843136
39,37,12,0.5372549019607843,0.4980392156862745,0.4745098039215686
34,37,21,0.5111679454390451,0.4687127024722933,0.4485933503836318
60,24,2,0.6019607843137255,0.5205882352941176,0.4725490196078431
33,37,20,0.5238095238095238,0.48851540616246497,0.4717086834733894
34,19,31,0.545751633986928,0.4522875816993464,0.39673202614379083
28,35,24,0.5509803921568628,0.4823529411764706,0.446078431372549
66,6,2,0.5398692810457516,0.4901960784313726,0.45359477124183006
30,35,24,0.5503267973856208,0.4784313725490196,0.4413943355119827
30,35,25,0.5518207282913165,0.47647058823529415,0.4397759103641458
33,35,24,0.5323529411764706,0.46323529411764713,0.430392156862745
34,35,24,0.5053475935828877,0.45597147950089134,0.43083778966131914
33,35,26,0.5369747899159664,0.46274509803921576,0.42717086834733903
31,35,25,0.5458823529411764,0.47333333333333333,0.4372549019607844
28,35,25,0.557908496732026,0.48601307189542486,0.4486274509803923
36,31,31,0.5937254901960785,0.4972549019607843,0.4580392156862745
